YEAR;MONTH;DAY;AIRLINE;ORIGIN_AIRPORT;DESTINATION_AIRPORT;DEPARTURE_DELAY;ARRIVAL_DELAY;CANCELLED
2015;1;1;US;SFO;PHX;-3.0;3.0;0.0
2015;1;1;AA;DFW;MCO;6.0;3.0;0.0
2015;1;1;AA;MIA;PHL;4.0;14.0;0.0
2015;1;1;AA;SLC;DFW;1.0;12.0;0.0
2015;1;1;AA;MIA;DFW;-1.0;-1.0;0.0
2015;1;1;AA;BWI;MIA;43.0;31.0;0.0
2015;1;1;AA;DFW;LGA;-6.0;-5.0;0.0
2015;1;1;AA;DEN;ORD;1.0;-27.0;0.0
2015;1;1;AA;MCI;DFW;6.0;3.0;0.0
2015;1;1;AA;TUL;DFW;-4.0;-11.0;0.0
2015;1;1;AA;LGA;MIA;68.0;50.0;0.0
2015;1;1;AA;LIT;DFW;-5.0;-10.0;0.0
2015;1;1;AA;MIA;LGA;-2.0;-9.0;0.0
2015;1;1;AA;LAS;DFW;-3.0;7.0;0.0
2015;1;1;AA;PDX;DFW;-4.0;-3.0;0.0
2015;1;1;AA;TPA;DFW;-6.0;-20.0;0.0
2015;1;1;AA;SMF;DFW;11.0;31.0;0.0
2015;1;1;AA;MSY;MIA;-5.0;-13.0;0.0
2015;1;1;AA;LAX;ORD;-3.0;-26.0;0.0
2015;1;1;AA;OMA;DFW;-6.0;5.0;0.0
2015;1;1;AA;OKC;DFW;10.0;30.0;0.0
2015;1;1;AS;SEA;ANC;-3.0;-13.0;0.0
2015;1;1;AS;FAI;ANC;-16.0;-9.0;0.0
2015;1;1;AS;SEA;SJC;-10.0;-9.0;0.0
2015;1;1;AS;SEA;OAK;-5.0;-16.0;0.0
2015;1;1;AS;PDX;SJC;-5.0;-13.0;0.0
2015;1;1;AS;LAX;SEA;-5.0;-9.0;0.0
2015;1;1;AS;PHX;SEA;-5.0;-12.0;0.0
2015;1;1;AS;DEN;SEA;-11.0;-34.0;0.0
2015;1;1;AS;GEG;SEA;-2.0;3.0;0.0
2015;1;1;B6;RSW;JFK;-3.0;-2.0;0.0
2015;1;1;B6;PBI;JFK;-1.0;9.0;0.0
2015;1;1;B6;JFK;PBI;-6.0;-22.0;0.0
2015;1;1;B6;TPA;JFK;-7.0;-5.0;0.0
2015;1;1;B6;FLL;LGA;-1.0;2.0;0.0
2015;1;1;B6;OAK;LGB;-8.0;-10.0;0.0
2015;1;1;B6;LGA;FLL;0.0;-6.0;0.0
2015;1;1;B6;JFK;MCO;-3.0;-19.0;0.0
2015;1;1;B6;EWR;FLL;-4.0;-21.0;0.0
2015;1;1;B6;JFK;TPA;-6.0;-1.0;0.0
2015;1;1;B6;PSE;JFK;-3.0;-5.0;0.0
2015;1;1;B6;MSY;JFK;-10.0;-18.0;0.0
2015;1;1;B6;AUS;JFK;-1.0;-10.0;0.0
2015;1;1;B6;BQN;JFK;1.0;15.0;0.0
2015;1;1;B6;TPA;BOS;-6.0;-12.0;0.0
2015;1;1;B6;JAX;JFK;0.0;8.0;0.0
2015;1;1;B6;DCA;BOS;-3.0;1.0;0.0
2015;1;1;DL;JFK;ATL;5.0;-19.0;0.0
2015;1;1;DL;LGA;DTW;4.0;-1.0;0.0
2015;1;1;DL;RNO;SLC;0.0;18.0;0.0
2015;1;1;DL;BOS;JFK;-4.0;-8.0;0.0
2015;1;1;DL;BOS;MSP;0.0;2.0;0.0
2015;1;1;DL;LGA;ATL;1.0;-32.0;0.0
2015;1;1;DL;ORD;ATL;2.0;-21.0;0.0
2015;1;1;DL;ANC;MSP;-3.0;-40.0;0.0
2015;1;1;DL;ATW;ATL;1.0;-32.0;0.0
2015;1;1;DL;PHX;ATL;124.0;107.0;0.0
2015;1;1;DL;PNS;ATL;-6.0;-20.0;0.0
2015;1;1;DL;MCO;SLC;-6.0;-10.0;0.0
2015;1;1;AA;DCA;MIA;5.0;-1.0;0.0
2015;1;1;DL;RIC;ATL;-6.0;-28.0;0.0
2015;1;1;DL;LAX;ATL;-1.0;-20.0;0.0
2015;1;1;DL;BOS;ATL;-2.0;-22.0;0.0
2015;1;1;DL;LAS;DTW;-1.0;-22.0;0.0
2015;1;1;DL;OKC;ATL;-10.0;-3.0;0.0
2015;1;1;DL;MCO;MSP;-10.0;-7.0;0.0
2015;1;1;DL;MEM;ATL;17.0;-6.0;0.0
2015;1;1;DL;TUL;ATL;-5.0;-24.0;0.0
2015;1;1;DL;BWI;DTW;-9.0;-19.0;0.0
2015;1;1;B6;BOS;PHL;-6.0;-21.0;0.0
2015;1;1;B6;MCO;LGA;-3.0;2.0;0.0
2015;1;1;B6;FLL;JFK;10.0;17.0;0.0
